"Nursima Donuk, Alfredo Molares, Jonathan Brito",,,,,,
table_name,column_name,domain_values,domain_values,database type,Attribute type PK NK FK,F Table
School_Contact_Info,school_id,1,2,integer,PK,N/A
School_Contact_Info,school_name,Baruch College,Hunter College,varchar,NK,N/A
School_Contact_Info,school_street,55 Lexington Ave,695 Park Ave,varchar,NK,N/A
School_Contact_Info,school_city,New York,New York,varchar,NK,N/A
School_Contact_Info,school_state,NY,NY,varchar,NK,N/A
School_Contact_Info,school_zip,10010,10065,integer,NK,N/A
School_Contact_Info,school_phone,6463121000,2127724000,integer,NK,N/A
School_Extra_Info,school_id,1,2,integer,PK,N/A
School_Extra_Info,number_of_students,18090,23018,integer,NK,N/A
School_Extra_Info,number_of_professors,192,240,integer,NK,N/A
School_Extra_Info,number_of_majors,83,133,integer,NK,N/A
Courses_table,department_id,1_bus,2_csci,varchar,FK,Depatment Table
Courses_table,course_id,ACC 101,CSCI 435,varchar,PK,N/A
Courses_table,course_name,Principles of Accounting,Database Management,varchar,NK,N/A
Courses_table,credits,3,3,integer,NK,N/A
Programs_offerred,school_id,1,2,integer,PK,N/A
Programs_offerred,program_offered,Zicklin,Daedalus Scholars Program,varchar,NK,N/A
Majors,department_id,1_bus,2_csci,varchar,FK,Depatment Table
Majors,major_name,Accounting,computer science,varchar,NK,N/A
Majors,required_credits,42,42,integer,NK,N/A
Majors,elective_credits,13,12,integer,NK,N/A
Minors,department_id,1_bus,2_csci,varchar,FK,Depatment Table
Minors,minor,Accounting,Computer Science,varchar,NK,N/A
Minors,required_credits,12,14,integer,NK,N/A
Department,school_id,1,2,varchar,FK,School Table
Department,department_name,Business,Computer Science,varchar,NK,N/A
Department,department_id,1_bus,2_csci,varchar,FK,Department Table
School_expenses,school_id,1,2,varchar,PK,N/A
School_expenses,total_yearly_resident_cost,10368,"$9,921 ",integer,NK,N/A
School_expenses,transportation_cost,1122,"$1,364 ",integer,NK,N/A
School_expenses,books_and_supplies,1364,"$1,088 ",integer,NK,N/A
School_expenses,lunch_cost,1360,"$1,232 ",integer,NK,N/A
School_expenses,personal_expenses_cost,1772,"$1,787 ",integer,NK,N/A
School_expenses,room_and_board_cost,4750,"$4,450 ",integer,NK,N/A
School_expenses,cost_per_credit,436,462,integer,NK,N/A
Professors,professor_id,1_CR,2_RK,varchar,NK,N/A
Professors,professor_name,Coleson Robert,Raman Kannan,varchar,NK,N/A
Professors,school_id,1,2,varchar,NK,N/A
Professors,professor_rating,3.5,4.4,float,NK,N/A
Professors,research_project,N/A,MySql Book,varchar,NK,N/A
Professors,cuny_start_semester,Spring 2012,Summer 2018,integer,NK,N/A
Courses_taught,course_id,ACC 101,CSCI 435,varchar,NK,N/A
Courses_taught,school_id,1,2,integer,FK,School Table
Courses_taught,professor_name,Coleson Robert,Raman Kannan,varchar,NK,N/A
Courses_taught,semester_taught,Spring 2020,Spring 2020,varchar,NK,N/A
