School_id,College_name,Program_name,Award_name,CIP 2010 TITLE SHORT
1,Baruch College,Accountancy,M.B.A.,Accounting.
1,Baruch College,Accounting,B.B.A.,Accounting.
1,Baruch College,Statistics and Quantitative Modeling,B.B.A.,Business Statistics.
1,Baruch College,Statistics,M.B.A.,Business Statistics.
1,Baruch College,Finance,B.B.A.,"Finance, General."
1,Baruch College,Finance,M.B.A.,"Finance, General."
1,Baruch College,Management,B.B.A.,"Business Administration and Management, General."
1,Baruch College,Management,M.B.A.,"Business Administration and Management, General."
1,Baruch College,Business Administration (Two-Year Option),M.B.A.,"Business Administration and Management, General."
1,Baruch College,Decision Sciences,M.B.A.,Operations Research.
1,Baruch College,Marketing Management,B.B.A.,"Sales, Distribution, and Marketing Operations, General."
1,Baruch College,Marketing,M.B.A.,"Sales, Distribution, and Marketing Operations, General."
1,Baruch College,International Business,M.B.A.,International Business/Trade/Commerce.
1,Baruch College,Economics,M.B.A.,Business/Managerial Economics.
1,Baruch College,Economics,B.B.A.,Business/Managerial Economics.
1,Baruch College,Taxation,M.B.A.,Taxation.
1,Baruch College,Information Systems,M.B.A.,Information Science/Studies.
1,Baruch College,Music,B.A.,"Music, General."
1,Baruch College,Spanish,B.A.,Spanish Language and Literature.
1,Baruch College,Health Care Administration,M.B.A.,Hospital and Health Care Facilities Administration/Management.
1,Baruch College,Health Policy and Administration,M.P.A.,Health Policy Analysis.
1,Baruch College,English,B.A.,"English Language and Literature, General."
1,Baruch College,Philosophy,B.A.,Philosophy.
1,Baruch College,Religion and Culture,B.A.,Religion/Religious Studies.
1,Baruch College,Mathematics,B.A.,"Mathematics, General."
1,Baruch College,Statistics,B.A.,"Statistics, General."
1,Baruch College,Psychology,B.A.,"Psychology, General."
1,Baruch College,Industrial and Organizational Psychology,M.B.A.,Industrial and Organizational Psychology.
1,Baruch College,Industrial and Organizational Psychology,B.B.A.,Industrial and Organizational Psychology.
1,Baruch College,Public Administration,M.P.A.,Public Administration.
1,Baruch College,Economics,B.A.,"Economics, General."
1,Baruch College,History,B.A.,"History, General."
1,Baruch College,Political Science,B.A.,"Political Science and Government, General."
1,Baruch College,Sociology,B.A.,Sociology.
1,Baruch College,Liberal Arts - Ad Hoc,B.A.,Liberal Arts and Sciences/Liberal Studies.
1,Baruch College,C.U.N.Y. Baccalaureate (B.A.),NG (Bacc.),Liberal Arts and Sciences/Liberal Studies.
1,Baruch College,Accountancy,M.S.,Accounting.
1,Baruch College,Public Affairs,B.S.,Public Administration.
1,Baruch College,Finance,M.S.,"Management Sciences and Quantitative Methods, Other."
1,Baruch College,Real Estate and Metropolitan Development,B.S.,Real Estate.
1,Baruch College,"Analysis of Financial Statements, Internal Operations, and Risk Management",M.S.,Auditing.
1,Baruch College,Computer Information Systems,B.B.A.,Information Science/Studies.
1,Baruch College,Higher Education Administration,M.S. in Ed.,Higher Education/Higher Education Administration.
1,Baruch College,Entrepreneurship,B.B.A.,Entrepreneurship/Entrepreneurial Studies.
1,Baruch College,Business Journalism,M.A.,"Journalism, Other."
1,Baruch College,Corporate Communication,M.A.,Business/Corporate Communications.
1,Baruch College,Business Administration,M.B.A.,"Business Administration and Management, General."
1,Baruch College,Financial Engineering,M.S.,Financial Mathematics.
1,Baruch College,School District Leader,M.S. in Ed.,Superintendency and Educational System Administration.
1,Baruch College,School Building Leader,Adv. Cert. Post Bacc.,"Educational Leadership and Administration, General."
1,Baruch College,Real Estate,B.B.A.,Real Estate.
1,Baruch College,Real Estate,M.B.A.,Real Estate.
1,Baruch College,Real Estate,M.S.,"Management Sciences and Quantitative Methods, Other."
1,Baruch College,Journalism,B.A.,Journalism.
1,Baruch College,International Business,B.B.A.,International Business/Trade/Commerce.
1,Baruch College,Entrepreneurship,M.S.,Entrepreneurship/Entrepreneurial Studies.
1,Baruch College,Mental Health Counseling,M.A.,Mental Health Counseling/Counselor.
1,Baruch College,Biological Sciences,B.A.,"Biology/Biological Sciences, General."
1,Baruch College,Financial Risk Management,M.S.,"Management Sciences and Quantitative Methods, Other."
1,Baruch College,Communication Studies,B.A.,"Communication, General."
1,Baruch College,Arts Administration,M.A.,Fine and Studio Arts Management.
1,Baruch College,Financial Mathematics,B.S.,Financial Mathematics.
1,Baruch College,International Affairs,M.I.A.,International Relations and Affairs.
1,Baruch College,Business Administration (One-Year Option),M.B.A.,"Business Administration and Management, General."
1,Baruch College,Industrial and Labor Relations,M.S.,Labor and Industrial Relations.
1,Baruch College,MHC-Business Communications,B.A.,Business/Corporate Communications.
1,Baruch College,MHC-Finance,B.B.A.,"Finance, General."
1,Baruch College,MHC-Industrial and Organizational Psychology,B.B.A.,Industrial and Organizational Psychology.
1,Baruch College,MHC-International Business,B.B.A.,International Business/Trade/Commerce.
1,Baruch College,MHC-Management,B.B.A.,"Business Administration and Management, General."
1,Baruch College,MHC-Marketing Management,B.B.A.,"Sales, Distribution, and Marketing Operations, General."
1,Baruch College,MHC-Mathematics,B.A.,"Mathematics, General."
1,Baruch College,MHC-Music,B.A.,"Music, General."
1,Baruch College,MHC-Real Estate,B.B.A.,Real Estate.
1,Baruch College,MHC-Statistics and Quantitative Modeling,B.B.A.,Business Statistics.
1,Baruch College,School Administrator and Supervisor,Adv. Cert. Post Master's,"Educational Leadership and Administration, General."
1,Baruch College,Human Resources Management,M.S.,"Human Resources Management/Personnel Administration, General."
1,Baruch College,Statistics,M.S.,"Statistics, General."
1,Baruch College,Quantitative Methods and Modeling,M.S.,Operations Research.
1,Baruch College,Marketing,M.S.,"Sales, Distribution, and Marketing Operations, General."
1,Baruch College,Taxation,M.S.,Taxation.
1,Baruch College,Information Systems,M.S.,"Management Information Systems, General."
1,Baruch College,Industrial and Organizational Psychology,M.S.,Industrial and Organizational Psychology.
1,Baruch College,Actuarial Science,B.A.,Actuarial Science.
1,Baruch College,Business Communications,B.A.,Business/Corporate Communications.
2,Borough of Manhattan Community College,Business Administration,A.A.,"Business Administration and Management, General."
2,Borough of Manhattan Community College,Liberal Arts,A.A.,Liberal Arts and Sciences/Liberal Studies.
2,Borough of Manhattan Community College,Accounting,A.A.S.,Accounting Technology/Technician and Bookkeeping.
2,Borough of Manhattan Community College,Nursing,A.A.S.,Registered Nursing/Registered Nurse.
2,Borough of Manhattan Community College,Health Information Technology,A.A.S.,Health Information/Medical Records Technology/Technician.
2,Borough of Manhattan Community College,Respiratory Therapy,A.A.S.,Respiratory Care Therapy/Therapist.
2,Borough of Manhattan Community College,Science,A.S.,Physical Sciences.
2,Borough of Manhattan Community College,Mathematics,A.S.,"Mathematics, General."
2,Borough of Manhattan Community College,Multimedia Programming and Design,A.S.,"Web Page, Digital/Multimedia and Information Resources Design."
2,Borough of Manhattan Community College,Multimedia Programming and Design,A.A.S.,"Web Page, Digital/Multimedia and Information Resources Design."
2,Borough of Manhattan Community College,Writing and Literature,A.A.,"English Language and Literature, General."
2,Borough of Manhattan Community College,Theatre,A.S.,"Visual and Performing Arts, General."
2,Borough of Manhattan Community College,Liberal Arts (Bilingual Childhood Education),A.A.,Liberal Arts and Sciences/Liberal Studies.
2,Borough of Manhattan Community College,Liberal Arts (Childhood Education),A.A.,Liberal Arts and Sciences/Liberal Studies.
2,Borough of Manhattan Community College,Forensic Science,A.S.,Forensic Science and Technology.
2,Borough of Manhattan Community College,Criminal Justice,A.A.,Criminal Justice/Police Science.
2,Borough of Manhattan Community College,Biotechnology,A.S.,Biotechnology.
2,Borough of Manhattan Community College,Accounting for Forensic Accounting,A.S.,Accounting.
2,Borough of Manhattan Community College,Communication Studies,A.A.,Mass Communication/Media Studies.
2,Borough of Manhattan Community College,Math and Science for Secondary Education,A.S.,Physical Sciences.
2,Borough of Manhattan Community College,Accounting,Cert. >= 30 Credits,Accounting Technology/Technician and Bookkeeping.
2,Borough of Manhattan Community College,Geographic Information Science,A.S.,Geographic Information Science and Cartography.
2,Borough of Manhattan Community College,Community Health Education,A.S.,Public Health Education and Promotion.
2,Borough of Manhattan Community College,Health Informatics,Cert. >= 30 Credits,Medical Informatics.
2,Borough of Manhattan Community College,School Health Education,A.S.,Public Health Education and Promotion.
2,Borough of Manhattan Community College,Animation and Motion Graphics,A.S.,"Animation, Interactive Technology, Video Graphics and Special Effects."
2,Borough of Manhattan Community College,Sociology,A.A.,Sociology.
2,Borough of Manhattan Community College,Modern Languages,A.A.,"Foreign Languages and Literatures, General."
2,Borough of Manhattan Community College,Art Foundations: Studio Art,A.S.,"Fine/Studio Arts, General."
2,Borough of Manhattan Community College,Art Foundations: Art History,A.A.,"Art History, Criticism and Conservation."
2,Borough of Manhattan Community College,History,A.A.,"History, General."
2,Borough of Manhattan Community College,Gerontology,A.S.,Gerontology.
2,Borough of Manhattan Community College,Science for Health Professions,A.S.,"Health Services/Allied Health/Health Sciences, General."
2,Borough of Manhattan Community College,Psychology,A.A.,"Psychology, General."
2,Borough of Manhattan Community College,Economics,A.A.,"Economics, General."
2,Borough of Manhattan Community College,Public Health,A.S.,"Public Health, General."
2,Borough of Manhattan Community College,Gender and Women's Studies,A.A.,Women's Studies.
2,Borough of Manhattan Community College,Music,A.S.,"Music, General."
2,Borough of Manhattan Community College,Digital Marketing,A.S.,"Marketing/Marketing Management, General."
2,Borough of Manhattan Community College,Financial Management,A.S.,"Finance, General."
2,Borough of Manhattan Community College,Children and Youth Studies,A.A.,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
2,Borough of Manhattan Community College,Linguistics and Literacy,A.A.,Linguistics.
2,Borough of Manhattan Community College,Business Management,A.A.S.,"Business Administration and Management, General."
2,Borough of Manhattan Community College,Child Care - Early Childhood Education,A.S.,Teacher Assistant/Aide.
2,Borough of Manhattan Community College,Video Arts and Technology,A.A.S.,Radio and Television Broadcasting Technology/Technician.
2,Borough of Manhattan Community College,Video Arts and Technology,A.S.,Radio and Television Broadcasting Technology/Technician.
2,Borough of Manhattan Community College,Paramedic,A.A.S.,Emergency Medical Technology/Technician (EMT Paramedic).
2,Borough of Manhattan Community College,Office Operations,A.A.S.,"Administrative Assistant and Secretarial Science, General."
2,Borough of Manhattan Community College,Office Automation,A.A.S.,"Administrative Assistant and Secretarial Science, General."
2,Borough of Manhattan Community College,Engineering Science,A.S.,"Engineering, General."
2,Borough of Manhattan Community College,Human Services,A.S.,Community Organization and Advocacy.
2,Borough of Manhattan Community College,Computer Information Systems,A.A.S.,"Computer and Information Sciences, General."
2,Borough of Manhattan Community College,Computer Network Technology,A.A.S.,"Computer and Information Sciences, General."
2,Borough of Manhattan Community College,Small Business/Entrepreneurship,A.A.S.,Small Business Administration/Management.
2,Borough of Manhattan Community College,Computer Science,A.S.,Computer Science.
3,Bronx Community College,Education Associate,A.A.S.,Teacher Assistant/Aide.
3,Bronx Community College,Business Administration,A.S.,"Business Administration and Management, General."
3,Bronx Community College,Engineering Science,A.S.,"Engineering, General."
3,Bronx Community College,Liberal Arts and Sciences,A.S.,Physical Sciences.
3,Bronx Community College,Liberal Arts and Sciences,A.A.,Liberal Arts and Sciences/Liberal Studies.
3,Bronx Community College,Accounting,A.A.S.,Accounting Technology/Technician and Bookkeeping.
3,Bronx Community College,Marketing Management,A.A.S.,"Marketing/Marketing Management, General."
3,Bronx Community College,Office Administration and Technology,A.A.S.,"Administrative Assistant and Secretarial Science, General."
3,Bronx Community College,Computer Information Systems,A.A.S.,Data Processing and Data Processing Technology/Technician.
3,Bronx Community College,Medical Laboratory Technician,A.A.S.,Clinical/Medical Laboratory Technician.
3,Bronx Community College,Nursing,A.A.S.,Registered Nursing/Registered Nurse.
3,Bronx Community College,Medical Office Assistant,A.A.S.,Medical/Clinical Assistant.
3,Bronx Community College,Electronic Engineering Technology,A.A.S.,"Electrical, Electronic and Communications Engineering Technology/Technician."
3,Bronx Community College,Automotive Technology,A.A.S.,Automobile/Automotive Mechanics Technology/Technician.
3,Bronx Community College,Mathematics,A.S.,"Mathematics, General."
3,Bronx Community College,Telecommunications Technology: Verizon,A.A.S.,Telecommunications Technology/Technician.
3,Bronx Community College,Public Health,A.S.,"Public Health, General."
3,Bronx Community College,Telecommunications Technology,A.A.S.,Telecommunications Technology/Technician.
3,Bronx Community College,Environmental Technology,A.A.S.,Environmental Engineering Technology/Environmental Technology.
3,Bronx Community College,Therapeutic Recreation,A.S.,Therapeutic Recreation/Recreational Therapy.
3,Bronx Community College,Animal Care and Management,Cert. >= 30 Credits,Veterinary/Animal Health Technology/Technician and Veterinary Assistant.
3,Bronx Community College,Bilingual Early Childhood Assistant,Cert. >= 30 Credits,Teacher Assistant/Aide.
3,Bronx Community College,Early Childhood Assistant,Cert. >= 30 Credits,Teacher Assistant/Aide.
3,Bronx Community College,Assistant of Children with Special Needs,Cert. >= 30 Credits,Teacher Assistant/Aide.
3,Bronx Community College,Medical Assisting,Cert. >= 30 Credits,Health/Health Care Administration/Management.
3,Bronx Community College,Pharmaceutical Manufacturing Technology,A.A.S.,Pharmacy Technician/Assistant.
3,Bronx Community College,Human Services (Place Holder Program),A.A.,"Human Services, General."
3,Bronx Community College,Dietetics and Nutrition Science,A.S.,Dietetics/Dietitian.
