school_id,course
1,ECON 270
1,ECON 250
1,ECON 180
1,ECON 280
1,ECON 370
1,ECON 450
1,ECON 730
1,ECON 330
1,ECON 470
1,ECON 750
1,ECON 130
1,ECON 620
1,ECON 600
1,ECON 700
1,ECON 350
1,ECON 490
1,ECON 390
1,ECON 150
1,ECON 430
1,ECON 220
1,ECON 240
1,ECON 710
1,ECON 790
1,ECON 640
1,ECON 320
1,ECON 770
1,ECON 590
1,ECON 110
1,ECON 190
1,ECON 310
1,ECON 740
1,ECON 500
1,ECON 260
1,ECON 460
1,BIOCH 170
1,BIOCH 690
1,BIOCH 300
1,BIOCH 580
1,BIOCH 430
1,BIOCH 630
1,BIOCH 730
1,BIOCH 510
1,BIOCH 140
1,BIOCH 780
1,BIOCH 760
1,BIOCH 360
1,BIOCH 120
1,BIOCH 190
1,BIOCH 560
1,BIOCH 250
1,BIOCH 280
1,BIOCH 160
1,BIOCH 180
1,BIOCH 100
1,BIOCH 210
1,BIOCH 410
1,BIOCH 570
1,BIOCH 590
1,BIOCH 340
1,BIOCH 740
1,BIOCH 700
1,BIOCH 270
1,BIOCH 320
1,BIOCH 450
1,BIOCH 620
1,BIOCH 600
1,BIOCH 610
1,BIOCH 460
1,BIOCH 470
1,BIOCH 670
1,BIOCH 380
1,BIOCH 370
1,EDUC 720
1,EDUC 400
1,EDUC 340
1,EDUC 760
1,EDUC 350
1,EDUC 440
1,EDUC 730
1,EDUC 320
1,EDUC 260
1,EDUC 660
1,EDUC 240
1,EDUC 750
1,EDUC 620
1,EDUC 710
1,EDUC 390
1,EDUC 180
1,EDUC 490
1,EDUC 130
1,EDUC 520
1,EDUC 470
1,EDUC 610
1,EDUC 770
1,EDUC 580
1,EDUC 220
1,EDUC 190
1,EDUC 410
1,EDUC 560
1,EDUC 480
1,EDUC 270
1,EDUC 370
1,EDUC 570
1,EDUC 740
1,ARB 470
1,ARB 530
1,ARB 690
1,ARB 110
1,ARB 200
1,ARB 290
1,ARB 140
1,ARB 460
1,ARB 150
1,ARB 640
1,ARB 210
1,ARB 330
1,ARB 220
1,ARB 650
1,ARB 430
1,ARB 250
1,ARB 230
1,ARB 370
1,ARB 260
1,ARB 780
1,ARB 100
1,ARB 720
1,ARB 120
1,ARB 560
1,ARB 580
1,ARB 300
1,ARB 770
1,ARB 490
1,ARB 700
1,ARB 270
1,ARB 350
1,ARB 790
1,ARB 660
1,ARB 570
1,ARB 740
1,SOSCI 520
1,SOSCI 750
1,SOSCI 560
1,SOSCI 510
1,SOSCI 250
1,SOSCI 660
1,SOSCI 220
1,SOSCI 470
1,SOSCI 160
