SchoolId,ProgramName,AwardName,CIP201TITLESHORT
1,Accountancy,M.B.A.,Accounting.
1,Accounting,B.B.A.,Accounting.
1,Statistics and Quantitative Modeling,B.B.A.,Business Statistics.
1,Statistics,M.B.A.,Business Statistics.
1,Finance,B.B.A.,"Finance, General."
1,Finance,M.B.A.,"Finance, General."
1,Management,B.B.A.,"Business Administration and Management, General."
1,Management,M.B.A.,"Business Administration and Management, General."
1,Business Administration (Two-Year Option),M.B.A.,"Business Administration and Management, General."
1,Decision Sciences,M.B.A.,Operations Research.
1,Marketing Management,B.B.A.,"Sales, Distribution, and Marketing Operations, General."
1,Marketing,M.B.A.,"Sales, Distribution, and Marketing Operations, General."
1,International Business,M.B.A.,International Business/Trade/Commerce.
1,Economics,M.B.A.,Business/Managerial Economics.
1,Economics,B.B.A.,Business/Managerial Economics.
1,Taxation,M.B.A.,Taxation.
1,Information Systems,M.B.A.,Information Science/Studies.
1,Music,B.A.,"Music, General."
1,Spanish,B.A.,Spanish Language and Literature.
1,Health Care Administration,M.B.A.,Hospital and Health Care Facilities Administration/Management.
1,Health Policy and Administration,M.P.A.,Health Policy Analysis.
1,English,B.A.,"English Language and Literature, General."
1,Philosophy,B.A.,Philosophy.
1,Religion and Culture,B.A.,Religion/Religious Studies.
1,Mathematics,B.A.,"Mathematics, General."
1,Statistics,B.A.,"Statistics, General."
1,Psychology,B.A.,"Psychology, General."
1,Industrial and Organizational Psychology,M.B.A.,Industrial and Organizational Psychology.
1,Industrial and Organizational Psychology,B.B.A.,Industrial and Organizational Psychology.
1,Public Administration,M.P.A.,Public Administration.
1,Economics,B.A.,"Economics, General."
1,History,B.A.,"History, General."
1,Political Science,B.A.,"Political Science and Government, General."
1,Sociology,B.A.,Sociology.
1,Liberal Arts - Ad Hoc,B.A.,Liberal Arts and Sciences/Liberal Studies.
1,C.U.N.Y. Baccalaureate (B.A.),NG (Bacc.),Liberal Arts and Sciences/Liberal Studies.
1,Accountancy,M.S.,Accounting.
1,Public Affairs,B.S.,Public Administration.
1,Finance,M.S.,"Management Sciences and Quantitative Methods, Other."
1,Real Estate and Metropolitan Development,B.S.,Real Estate.
1,"Analysis of Financial Statements, Internal Operations, and Risk Management",M.S.,Auditing.
1,Computer Information Systems,B.B.A.,Information Science/Studies.
1,Higher Education Administration,M.S. in Ed.,Higher Education/Higher Education Administration.
1,Entrepreneurship,B.B.A.,Entrepreneurship/Entrepreneurial Studies.
1,Business Journalism,M.A.,"Journalism, Other."
1,Corporate Communication,M.A.,Business/Corporate Communications.
1,Business Administration,M.B.A.,"Business Administration and Management, General."
1,Financial Engineering,M.S.,Financial Mathematics.
1,School District Leader,M.S. in Ed.,Superintendency and Educational System Administration.
1,School Building Leader,Adv. Cert. Post Bacc.,"Educational Leadership and Administration, General."
1,Real Estate,B.B.A.,Real Estate.
1,Real Estate,M.B.A.,Real Estate.
1,Real Estate,M.S.,"Management Sciences and Quantitative Methods, Other."
1,Journalism,B.A.,Journalism.
1,International Business,B.B.A.,International Business/Trade/Commerce.
1,Entrepreneurship,M.S.,Entrepreneurship/Entrepreneurial Studies.
1,Mental Health Counseling,M.A.,Mental Health Counseling/Counselor.
1,Biological Sciences,B.A.,"Biology/Biological Sciences, General."
1,Financial Risk Management,M.S.,"Management Sciences and Quantitative Methods, Other."
1,Communication Studies,B.A.,"Communication, General."
1,Arts Administration,M.A.,Fine and Studio Arts Management.
1,Financial Mathematics,B.S.,Financial Mathematics.
1,International Affairs,M.I.A.,International Relations and Affairs.
1,Business Administration (One-Year Option),M.B.A.,"Business Administration and Management, General."
1,Industrial and Labor Relations,M.S.,Labor and Industrial Relations.
1,MHC-Business Communications,B.A.,Business/Corporate Communications.
1,MHC-Finance,B.B.A.,"Finance, General."
1,MHC-Industrial and Organizational Psychology,B.B.A.,Industrial and Organizational Psychology.
1,MHC-International Business,B.B.A.,International Business/Trade/Commerce.
1,MHC-Management,B.B.A.,"Business Administration and Management, General."
1,MHC-Marketing Management,B.B.A.,"Sales, Distribution, and Marketing Operations, General."
1,MHC-Mathematics,B.A.,"Mathematics, General."
1,MHC-Music,B.A.,"Music, General."
1,MHC-Real Estate,B.B.A.,Real Estate.
1,MHC-Statistics and Quantitative Modeling,B.B.A.,Business Statistics.
1,School Administrator and Supervisor,Adv. Cert. Post Master's,"Educational Leadership and Administration, General."
1,Human Resources Management,M.S.,"Human Resources Management/Personnel Administration, General."
1,Statistics,M.S.,"Statistics, General."
1,Quantitative Methods and Modeling,M.S.,Operations Research.
1,Marketing,M.S.,"Sales, Distribution, and Marketing Operations, General."
1,Taxation,M.S.,Taxation.
1,Information Systems,M.S.,"Management Information Systems, General."
1,Industrial and Organizational Psychology,M.S.,Industrial and Organizational Psychology.
1,Actuarial Science,B.A.,Actuarial Science.
1,Business Communications,B.A.,Business/Corporate Communications.
2,Business Administration,A.A.,"Business Administration and Management, General."
2,Liberal Arts,A.A.,Liberal Arts and Sciences/Liberal Studies.
2,Accounting,A.A.S.,Accounting Technology/Technician and Bookkeeping.
2,Nursing,A.A.S.,Registered Nursing/Registered Nurse.
2,Health Information Technology,A.A.S.,Health Information/Medical Records Technology/Technician.
2,Respiratory Therapy,A.A.S.,Respiratory Care Therapy/Therapist.
2,Science,A.S.,Physical Sciences.
2,Mathematics,A.S.,"Mathematics, General."
2,Multimedia Programming and Design,A.S.,"Web Page, Digital/Multimedia and Information Resources Design."
2,Multimedia Programming and Design,A.A.S.,"Web Page, Digital/Multimedia and Information Resources Design."
2,Writing and Literature,A.A.,"English Language and Literature, General."
2,Theatre,A.S.,"Visual and Performing Arts, General."
2,Liberal Arts (Bilingual Childhood Education),A.A.,Liberal Arts and Sciences/Liberal Studies.
2,Liberal Arts (Childhood Education),A.A.,Liberal Arts and Sciences/Liberal Studies.
2,Forensic Science,A.S.,Forensic Science and Technology.
2,Criminal Justice,A.A.,Criminal Justice/Police Science.
2,Biotechnology,A.S.,Biotechnology.
2,Accounting for Forensic Accounting,A.S.,Accounting.
2,Communication Studies,A.A.,Mass Communication/Media Studies.
2,Math and Science for Secondary Education,A.S.,Physical Sciences.
2,Accounting,Cert. >= 30 Credits,Accounting Technology/Technician and Bookkeeping.
2,Geographic Information Science,A.S.,Geographic Information Science and Cartography.
2,Community Health Education,A.S.,Public Health Education and Promotion.
2,Health Informatics,Cert. >= 30 Credits,Medical Informatics.
2,School Health Education,A.S.,Public Health Education and Promotion.
2,Animation and Motion Graphics,A.S.,"Animation, Interactive Technology, Video Graphics and Special Effects."
2,Sociology,A.A.,Sociology.
2,Modern Languages,A.A.,"Foreign Languages and Literatures, General."
2,Art Foundations: Studio Art,A.S.,"Fine/Studio Arts, General."
2,Art Foundations: Art History,A.A.,"Art History, Criticism and Conservation."
2,History,A.A.,"History, General."
2,Gerontology,A.S.,Gerontology.
2,Science for Health Professions,A.S.,"Health Services/Allied Health/Health Sciences, General."
2,Psychology,A.A.,"Psychology, General."
2,Economics,A.A.,"Economics, General."
2,Public Health,A.S.,"Public Health, General."
2,Gender and Women's Studies,A.A.,Women's Studies.
2,Music,A.S.,"Music, General."
2,Digital Marketing,A.S.,"Marketing/Marketing Management, General."
2,Financial Management,A.S.,"Finance, General."
2,Children and Youth Studies,A.A.,"Ethnic, Cultural Minority, Gender, and Group Studies, Other."
2,Linguistics and Literacy,A.A.,Linguistics.
2,Business Management,A.A.S.,"Business Administration and Management, General."
2,Child Care - Early Childhood Education,A.S.,Teacher Assistant/Aide.
2,Video Arts and Technology,A.A.S.,Radio and Television Broadcasting Technology/Technician.
2,Video Arts and Technology,A.S.,Radio and Television Broadcasting Technology/Technician.
2,Paramedic,A.A.S.,Emergency Medical Technology/Technician (EMT Paramedic).
2,Office Operations,A.A.S.,"Administrative Assistant and Secretarial Science, General."
2,Office Automation,A.A.S.,"Administrative Assistant and Secretarial Science, General."
2,Engineering Science,A.S.,"Engineering, General."
2,Human Services,A.S.,Community Organization and Advocacy.
