FacultyId,DeptId,Year
1,181,2019
2,666,2015
2,620,2007
2,176,2020
2,586,2012
2,237,2014
3,78,2014
3,296,2020
3,401,2018
3,702,2020
3,412,2014
3,166,2020
4,241,2007
5,715,2009
5,616,2008
5,448,2004
5,198,2016
6,608,2017
6,800,2009
7,572,1996
7,598,2001
7,565,2012
7,639,2006
8,729,2008
8,375,1995
8,394,1998
9,575,2005
9,152,2004
9,482,2008
9,179,2012
9,148,1996
9,748,2011
10,747,2017
10,277,2020
10,14,2018
10,204,2018
10,92,2018
10,598,2017
11,774,2014
11,152,1998
12,582,2020
12,571,2016
13,769,2011
13,318,2013
13,65,1997
13,362,2016
13,555,1999
13,16,1993
14,630,1992
14,349,2019
14,160,2011
14,227,2009
14,27,2019
14,60,1992
15,647,2005
15,556,2011
15,650,2004
16,321,2019
16,615,2020
16,391,2018
16,830,2019
17,593,2009
17,286,2019
17,704,2010
17,411,2016
17,40,2014
17,755,2018
18,656,2020
18,8,2013
18,356,2012
18,680,2018
19,112,2020
19,446,2020
20,378,2017
20,660,2008
21,516,2020
21,465,2009
21,750,2020
22,337,2013
22,800,2003
22,768,2005
22,64,2006
22,393,2010
22,100,2005
23,358,2006
23,722,2003
24,537,2003
24,351,2001
24,44,2001
24,511,2009
24,753,2002
24,389,2015
25,690,2012
25,638,1998
25,329,2017
26,7,2018
26,811,2019
27,580,2020
27,151,2019
27,394,2020
27,466,2019
28,484,2010
28,166,2018
28,193,2005
29,484,2020
29,835,2011
29,751,2009
29,742,2014
30,138,2016
30,287,1997
30,641,1993
30,826,2002
31,205,2006
32,456,2007
32,2,2000
32,409,2016
32,128,2004
32,521,2004
33,332,2007
33,821,2019
33,496,2018
33,602,2016
33,430,2020
34,244,2020
34,735,2020
34,598,2020
34,230,2020
35,121,1997
35,549,2009
35,17,2017
36,101,2016
36,196,2020
36,712,2015
37,174,2016
37,513,2002
37,227,2001
37,72,2013
38,278,2014
38,123,2012
38,519,2015
38,461,2011
38,163,2010
38,192,2013
39,256,2019
39,259,2020
39,574,2020
40,536,2020
40,42,2012
40,216,2014
40,784,2020
40,101,2016
40,438,2014
41,42,2006
41,290,2020
41,395,2006
41,377,2004
42,813,2012
42,748,2018
42,604,2018
43,670,2019
43,587,2007
44,570,2006
44,605,2002
44,25,2012
44,363,2020
44,84,2003
44,296,2002
45,437,2019
46,246,2014
46,618,2013
46,218,2013
46,324,2012
46,746,2013
46,35,2016
47,330,1997
47,94,2019
47,751,2017
48,8,2020
48,563,2016
49,494,2018
49,702,2015
50,94,2001
51,559,2015
51,447,2017
52,37,2017
52,630,2016
52,88,2014
52,310,2005
52,502,2009
52,89,2011
53,49,2015
53,112,2016
53,2,2016
53,147,2018
53,409,2014
53,14,2020
54,147,2019
54,805,2020
54,705,2017
54,737,2017
55,356,2010
55,432,2015
55,23,2014
56,531,2020
57,358,2018
58,218,2020
59,41,2005
59,117,2017
59,420,2005
59,625,2004
59,397,2003
59,539,2010
60,593,2009
60,89,1996
60,155,2011
60,113,2010
60,347,2002
60,709,2002
61,320,2017
61,738,2015
61,583,1999
61,162,1993
61,379,2007
62,781,2012
63,263,2019
63,450,2020
63,427,2019
63,469,2020
64,467,2020
65,516,2016
65,496,2015
65,29,2011
65,623,2015
65,212,2019
66,374,2017
66,428,2019
66,491,2019
66,93,2020
66,348,2018
67,24,2018
67,556,2011
67,353,2004
68,582,2011
68,772,1994
69,707,2015
69,118,2017
69,195,2013
69,6,2018
69,183,2013
69,681,2013
70,373,1996
70,257,2006
70,230,2005
70,141,1994
71,820,2020
71,754,2019
71,654,2015
72,551,2013
72,410,2017
72,741,2020
72,168,2014
72,136,2019
73,296,2017
73,464,2017
73,46,2020
73,36,2019
74,493,1999
74,705,2014
74,537,2008
75,267,2013
75,700,2007
75,630,2002
75,26,2007
76,212,1996
76,147,2005
76,2,2020
76,517,1999
76,660,1995
77,31,2020
77,804,2019
77,66,2018
78,835,2009
78,7,2020
78,602,2013
78,368,2007
78,251,2009
78,721,2017
79,484,2019
79,438,2018
79,279,2019
80,688,2016
80,598,2020
80,733,2017
80,53,2000
81,708,2020
81,234,2020
81,449,2019
81,429,2020
81,745,2019
81,620,2019
82,438,1999
82,323,2017
82,330,2014
82,658,2018
82,608,2010
82,69,2015
83,459,2016
83,451,2012
84,371,2019
84,829,2015
84,197,2018
85,401,2020
85,544,2020
86,394,2014
86,511,2007
87,571,2002
87,329,2003
87,631,1992
87,177,2004
88,586,2004
88,292,2018
88,744,2004
89,80,2020
89,797,2020
89,449,2020
90,682,2009
90,676,2003
90,607,2000
90,115,2017
90,177,2013
90,508,1993
91,422,2010
92,722,2014
92,213,2008
93,447,2012
93,322,2018
94,316,2015
94,381,2015
94,550,2011
95,185,2011
96,372,2014
97,66,2020
97,279,2018
97,267,2017
97,411,2017
97,249,2019
97,438,2019
98,587,2010
98,545,2019
98,684,2008
98,522,2020
99,175,2011
100,324,2020
100,617,2020
100,394,2018
100,666,2020
100,401,2017
101,470,2019
101,419,2017
102,52,2017
102,724,2016
102,625,2016
103,548,2013
103,396,2018
103,74,2013
103,31,2010
103,410,2009
103,277,2006
104,498,2018
104,263,2014
104,443,2003
104,387,1993
104,748,2010
104,232,2006
105,360,2018
106,528,2003
106,166,1997
106,287,1992
106,759,1998
106,194,1996
107,58,2004
108,206,2005
109,794,2017
110,162,2017
110,274,2020
110,283,2015
110,606,2016
110,662,2019
110,223,2015
111,838,2013
111,472,2016
111,203,2009
111,122,2018
111,476,2013
112,716,2018
112,382,2020
